id_livre,id_award,date
7624594,4,2010-01-01
7155145,4,2010-01-01
24911006,4,2015-01-01
30781490,4,2017-01-01
21913812,4,2014-01-01
25489625,4,2015-01-01
6289283,4,2009-01-01
30257963,4,2018-01-01
12609433,4,2012-01-01
21413662,4,2014-01-01
27068734,4,2016-01-01
6366437,4,2009-01-01
34890015,4,2018-01-01
26889576,4,2010-01-01
38820046,4,2018-01-01
37570546,4,2019-01-01
6604712,4,2009-01-01
20696006,4,2014-01-01
6512154,4,2009-01-01
12391521,4,2011-01-01
6346975,4,2011-01-01
24453082,4,2015-01-01
13099738,4,2012-01-01
9827912,4,2011-01-01
3398625,4,2009-01-01
37976541,4,2018-01-01
15751404,4,2013-01-01
25852784,4,2016-01-01
40121378,4,2018-01-01
11324722,4,2012-01-01
12158480,4,2012-01-01
18813642,4,2014-01-01
16071764,4,2013-01-01
16142053,4,2013-01-01
18803640,4,2015-01-01
13707738,4,2011-01-01
35542451,4,2018-01-01
13259270,4,2012-01-01
176892,5,1991-01-01
20082,5,1990-01-01
238961,5,1986-01-01
35231,5,1995-01-01
13890,5,1996-01-01
465904,5,1989-01-01
61926,5,1992-01-01
127567,5,1994-01-01
177250,5,1987-01-01
22867,5,1988-01-01
138811,6,2004-01-01
23346719,7,2016-01-01
9783200,7,2012-01-01
21421192,7,2013-01-01
6688087,7,2010-01-01
18222743,7,2015-01-01
9736930,7,2012-01-01
2161733,7,2010-01-01
40611999,7,2016-01-01
1977834,8,2017-01-01
1739150,8,2012-01-01
6405181,8,2010-01-01
23129715,8,2016-01-01
28953118,8,2017-01-01
37004370,8,2020-01-01
9639774,8,2012-01-01
1353409,8,2016-01-01
2020983,8,2010-01-01
42983724,8,2020-01-01
44146682,8,2020-01-01
18656280,8,2018-01-01
18938315,8,2015-01-01
36885304,8,2019-01-01
12757485,8,2015-01-01
7712622,8,2012-01-01
38896653,8,2009-01-01
6318283,8,2010-01-01
2072557,8,2018-01-01
2967752,8,2009-01-01
8710484,8,2013-01-01
3018539,8,2009-01-01
3344411,8,2010-01-01
6282753,8,2010-01-01
7147831,8,2013-01-01
31203000,8,2019-01-01
25263557,8,2016-01-01
1977834,9,2017-01-01
1977834,10,2009-01-01
1105956,10,2009-01-01
138428,10,2008-01-01
101999,10,2007-01-01
7831145,11,2010-01-01
13050840,11,2012-01-01
7831145,12,2010-01-01
17190226,12,2013-01-01
30839185,12,2017-01-01
26252659,12,2016-01-01
15762657,12,2012-01-01
22717015,12,2015-01-01
7493186,12,2010-01-01
37683751,12,2018-01-01
32024902,12,2018-01-01
28477789,12,2016-01-01
29496208,12,2017-01-01
18461986,12,2015-01-01
23355069,12,2015-01-01
9995135,12,2012-01-01
