id_genre,id_auteur
46,30913
5,2007
95,2007
2,4062698
2,38065
2,67038
2,24978
2,226816
2,2965489
2,71878
2,50886
2,37814
1,6218
2,2752928
2,51304
5,51304
2,76405
5,76405
2,86778
2,8716
2,2798441
2,104926
2,2614
2,92650
2,17597
2,9759
5,9759
2,23294
2,64364
5,64364
2,16202
2,4443809
5,4443809
2,33952
2,541293
2,83086
2,22370
2,107767
5,107767
2,375143
2,9241
2,29542
5,29542
2,1598076
2,3517050
5,568672
5,5895829
27,7043626
5,43889
37,41141
5,5283343
5,6989
29,6989
5,327737
27,327737
5,46158
5,6587
32,6587
29,18540
5,75091
21,75091
31,75091
9,132350
5,6810
2,6581091
32,38569
5,1301649
10,1538
5,15015247
46,15015247
95,3956
5,238
9,238
9,5571
5,7491
120,7491
9,1194
45,1194
213,7
5,10089
5,23069
32,23069
5,16094
5,16496
5,5807106
5,22996
5,14032
32,14032
5,3093075
9,3093075
5,44037
9,44037
5,1858
5,10991
118,10991
5,696805
45,696805
5,10992
5,4007
72,4007
45,10538
5,4763
45,4763
37,9873809
37,17130322
37,8107261
32,17337861
37,4279769
32,15455603
37,16642745
37,7391763
37,15269309
37,14831545
32,99117
5,3408059
32,15600590
5,5830526
37,16022936
32,8306309
37,13467894
37,14137787
37,17243035
37,14028431
37,15049422
37,4200019
5,5331983
5,119755
6,4346642
40,15569092
2,1783576
5,7782976
6,8442873
32,60478
32,7769192
37,1051591
5,15890
32,6925118
37,13776517
2,16857084
5,42110
5,2917917
58,7107744
5,8649
21,8649
5,1379540
37,1379540
37,7558024
37,6453465
37,5393357
2,5014564
37,3342174
32,8059844
2,4507090
37,4507090
2,5130837
37,753097
37,4254441
5,852078
7,83085
37,83085
5,836009
37,836009
5,17082
37,56019
37,4388953
32,4512224
45,4512224
37,4105961
5,3519233
5,4042181
37,1348627
37,3484883
37,374429
37,1079136
45,1079136
5,5833
37,79589
37,2761947
37,33502
45,33502
37,87534
37,3125711
5,16304
2,65137
5,2860219
7,2860219
5,4414255
5,580315
32,8685
32,88685
37,88685
32,12350
5,9222
37,9222
5,9785
647,9785
5,15516
119,55044
95,311467
1,1025097
5,3530
9,63638
5,1262010
647,1262010
5,77004
46,77004
9,4370
5,7025
9,3154596
5,13234
29,13234
95,188932
9,27281
5,33503
119,711
5,19879
29,19879
5,5658
9,140720
95,140720
5,4415
120,1367163
95,2761
5,6765
5,5144
29,5144
5,2330
9,2330
5,1433597
5,3535
29,3535
228,3535
5,3049
5,704
74,704
74,1742
5,431149
9,431149
5,8661
5,60177
37,6420295
5,27704
5,276660
5,85545
32,2063919
5,57461
5,8588
5,869
32,4721536
5,43784
5,8516
5,1023510
5,10518
32,10518
5,16939
21,16939
5,13026
5,25307
5,12980
5,5804101
5,1405152
5,31232
5,73149
2,4930653
37,5752359
37,5085738
58,6436698
7,4624490
29,4624490
5,58
2,3532
5,3532
5,7621
37,3352591
5,363130
5,44003
5,5687
5,4176632
647,4176632
5,1432
9,1432
5,23419
5,28024
6,2565
5,1448
21,1448
5,2929
5,9057
21,9057
5,9121
21,9121
1,12455
1,59542
1,10482
32,66700
5,11586
37,8427881
32,6916708
37,8119768
5,164187
5,8377979
